instance_id,status,message,task_id
ins-pzthtgm9,失败,不支持状态为已关机的实例ins-pzthtgm9 (d6113971),无
ins-rvuh2wmj,失败,不支持状态为已关机的实例ins-rvuh2wmj (6272efa6),无
ins-lpw1sld9,失败,不支持状态为已关机的实例ins-lpw1sld9 (7837d3ba),无
ins-kbjjv6az,失败,不支持状态为已关机的实例ins-kbjjv6az (786b91d1),无
ins-eh5f4o83,失败,不支持状态为已关机的实例ins-eh5f4o83 (88fc69fc),无
ins-3majte9x,失败,不支持状态为已关机的实例ins-3majte9x (53b61954),无
ins-2iu68sxz,失败,不支持状态为已关机的实例ins-2iu68sxz (2c811f76),无
ins-7tqc2g3p,失败,不支持状态为已关机的实例ins-7tqc2g3p (dfe3c1f8),无
ins-lf0atwy5,失败,不支持状态为已关机的实例ins-lf0atwy5 (383d2e22),无
ins-1rnu2zhn,失败,不支持状态为已关机的实例ins-1rnu2zhn (52a55f0a),无
ins-pwkdmizz,失败,不支持状态为已关机的实例ins-pwkdmizz (e5f23ad0),无
ins-66kwray5,失败,不支持状态为已关机的实例ins-66kwray5 (bad7e5c8),无
ins-mp4oqsuj,失败,不支持状态为已关机的实例ins-mp4oqsuj (af8edb70),无
ins-dbbwmq97,失败,不支持状态为已关机的实例ins-dbbwmq97 (943f56e2),无
ins-gg7n7zif,失败,不支持状态为已关机的实例ins-gg7n7zif (a8d8fef0),无
ins-l27ncpv1,失败,不支持状态为已关机的实例ins-l27ncpv1 (471ea394),无
ins-qrx6h8sh,失败,不支持状态为已关机的实例ins-qrx6h8sh (8c6e6de5),无
ins-ryt0vq97,失败,不支持状态为已关机的实例ins-ryt0vq97 (41defa23),无
ins-4jlsbu1t,失败,不支持状态为已关机的实例ins-4jlsbu1t (c15925e9),无
ins-lu336t6p,失败,不支持状态为已关机的实例ins-lu336t6p (ef4a4757),无
ins-6i2kpv7p,失败,不支持状态为已关机的实例ins-6i2kpv7p (ca43d7f3),无
ins-8h7k4sel,成功,操作成功完成,2079158158
ins-dmdov2f5,失败,不支持状态为已关机的实例ins-dmdov2f5 (3b454565),无
ins-6ufm5qeh,成功,操作成功完成,2079158169
ins-isaxn4q3,成功,操作成功完成,2079158178
ins-ml7p767b,失败,不支持状态为已关机的实例ins-ml7p767b (83dcdf70),无
ins-hl6l08zp,失败,不支持状态为已关机的实例ins-hl6l08zp (ac1c8e5e),无
ins-c3lgq939,成功,操作成功完成,2079158201
ins-jytf9n7r,成功,操作成功完成,2079158207
ins-hwimkwox,成功,操作成功完成,2079158217
ins-d9rs3t43,成功,操作成功完成,2079158223
ins-jv2eke0x,成功,操作成功完成,2079158233
ins-6qbgeup1,成功,操作成功完成,2079158237
ins-hw90n78n,成功,操作成功完成,2079158241
ins-1nxvp7t9,成功,操作成功完成,2079158251
ins-o1rzculr,成功,操作成功完成,2079158266
ins-r4geborz,成功,操作成功完成,2079158280
ins-6twpo8x1,成功,操作成功完成,2079158285
ins-mlr4kr6v,成功,操作成功完成,2079158294
